Leading Cancer Sites,Year,Region,Race,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Brain and Other Nervous System,1999,Northeast,Asian or Pacific Islander,0.366,1.506,4.116
Brain and Other Nervous System,1999,Northeast,Black or African American,0.538,2.273,4.228
Brain and Other Nervous System,1999,Northeast,White,0.626,4.656,7.438
Brain and Other Nervous System,1999,Midwest,Black or African American,0.646,2.59,4.009
Brain and Other Nervous System,1999,Midwest,White,0.685,5.035,7.348
Brain and Other Nervous System,1999,South,Asian or Pacific Islander,0.444,1.801,4.053
Brain and Other Nervous System,1999,South,Black or African American,0.679,2.753,4.055
Brain and Other Nervous System,1999,South,White,0.67,4.843,7.23
Brain and Other Nervous System,1999,West,American Indian or Alaska Native,0.563,2.238,3.976
Brain and Other Nervous System,1999,West,Asian or Pacific Islander,0.565,2.019,3.571
Brain and Other Nervous System,1999,West,Black or African American,0.763,3.13,4.103
Brain and Other Nervous System,1999,West,White,0.715,5.242,7.334
Brain and Other Nervous System,2000,Northeast,Asian or Pacific Islander,0.453,1.872,4.135
Brain and Other Nervous System,2000,Northeast,Black or African American,0.511,2.051,4.011
Brain and Other Nervous System,2000,Northeast,White,0.552,4.422,8.018
Brain and Other Nervous System,2000,Midwest,Asian or Pacific Islander,0.91,2.295,2.523
Brain and Other Nervous System,2000,Midwest,Black or African American,0.614,2.618,4.261
Brain and Other Nervous System,2000,Midwest,White,0.695,4.922,7.083
Brain and Other Nervous System,2000,South,Asian or Pacific Islander,0.516,2.14,4.144
Brain and Other Nervous System,2000,South,Black or African American,0.67,2.805,4.185
Brain and Other Nervous System,2000,South,White,0.678,4.926,7.265
Brain and Other Nervous System,2000,West,American Indian or Alaska Native,0.681,2.081,3.055
Brain and Other Nervous System,2000,West,Asian or Pacific Islander,0.579,1.919,3.316
Brain and Other Nervous System,2000,West,Black or African American,0.803,2.81,3.501
Brain and Other Nervous System,2000,West,White,0.708,4.994,7.052
Brain and Other Nervous System,2001,Northeast,Asian or Pacific Islander,0.303,1.394,4.596
Brain and Other Nervous System,2001,Northeast,Black or African American,0.436,1.926,4.422
Brain and Other Nervous System,2001,Northeast,White,0.578,4.299,7.439
Brain and Other Nervous System,2001,Midwest,Black or African American,0.685,2.703,3.946
Brain and Other Nervous System,2001,Midwest,White,0.675,4.97,7.365
Brain and Other Nervous System,2001,South,American Indian or Alaska Native,0.683,2.671,3.91
Brain and Other Nervous System,2001,South,Asian or Pacific Islander,0.569,2.537,4.46
Brain and Other Nervous System,2001,South,Black or African American,0.671,2.681,3.994
Brain and Other Nervous System,2001,South,White,0.693,4.89,7.052
Brain and Other Nervous System,2001,West,Asian or Pacific Islander,0.569,2.028,3.565
Brain and Other Nervous System,2001,West,Black or African American,0.65,2.793,4.294
Brain and Other Nervous System,2001,West,White,0.698,4.822,6.904
Brain and Other Nervous System,2002,Northeast,Asian or Pacific Islander,0.586,2.312,3.944
Brain and Other Nervous System,2002,Northeast,Black or African American,0.503,1.993,3.959
Brain and Other Nervous System,2002,Northeast,White,0.576,4.344,7.544
Brain and Other Nervous System,2002,Midwest,Asian or Pacific Islander,0.37,1.666,4.506
