Census,Election_Date,Month,Year,Ward,Polling_Place,Registered_Voters,11_AM_Turnout_Total,11_AM_Absentees_Processed,11_AM_Provisionals,11_AM_Turnout_Percentage,11_AM_Turnout_Projection,4_PM_Turnout_Total,4_PM_Absentees_Processed,4_PM_Provisionals,4_PM_Turnout_Percentage,4_PM_Turnout_Projection,8_PM_Turnout,8_PM_Provisionals,Final_Turnout_Percentage,OBJECTID
2000,4/1/08,April,2008,1,Glendale,2510,141,NA,NA,0.06,NA,284,NA,NA,0.11,NA,483,NA,0.19,0
2000,4/1/08,April,2008,2,Lake City,2516,163,NA,NA,0.06,NA,315,NA,NA,0.13,NA,589,NA,0.23,1
2000,4/1/08,April,2008,3,Elvehjem,1336,89,NA,NA,0.07,NA,226,NA,NA,0.17,NA,382,NA,0.29,2
2000,4/1/08,April,2008,4,Elvehjem,1533,63,NA,NA,0.04,NA,179,NA,NA,0.12,NA,274,NA,0.18,3
2000,4/1/08,April,2008,131,Elvehjem,1,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,4
2000,4/1/08,April,2008,5,Door Creek Church,2181,128,NA,NA,0.06,NA,299,NA,NA,0.14,NA,488,NA,0.22,5
2000,4/1/08,April,2008,5,Kennedy,0,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,6
2000,4/1/08,April,2008,6,Kennedy,1642,130,NA,NA,0.08,NA,250,NA,NA,0.15,NA,428,NA,0.26,7
2000,4/1/08,April,2008,111,Kennedy,0,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,8
2000,4/1/08,April,2008,115,Kenndy,0,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,9
2000,4/1/08,April,2008,139,Kennedy,0,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,10
2000,4/1/08,April,2008,7,New Beginnings,1873,118,NA,NA,0.06,NA,275,NA,NA,0.15,NA,403,NA,0.22,11
2000,4/1/08,April,2008,136,New Beginnings,0,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,12
2000,4/1/08,April,2008,8,American Family,1778,64,NA,NA,0.04,NA,157,NA,NA,0.09,NA,252,NA,0.14,13
2000,4/1/08,April,2008,9,American Family,917,21,NA,NA,0.02,NA,56,NA,NA,0.06,NA,93,NA,0.1,14
2000,4/1/08,April,2008,10,LaFollette,1645,98,NA,NA,0.06,NA,230,NA,NA,0.14,NA,425,NA,0.26,15
2000,4/1/08,April,2008,11,Whitehorse,2503,145,NA,NA,0.06,NA,303,NA,NA,0.12,NA,537,NA,0.21,16
