Leading Cancer Sites,Year,State,Mortality-Incidence Age-Adjusted Rate Ratio,"Mortality Age-Adjusted Rate (per 100,000)","Incidence Age-Adjusted Rate (per 100,000)"
Brain and Other Nervous System,1999,Alabama,0.713,4.682,6.564
Brain and Other Nervous System,1999,Alaska,0.566,4.265,7.538
Brain and Other Nervous System,1999,Arizona,0.652,4.515,6.925
Brain and Other Nervous System,1999,California,0.733,4.836,6.602
Brain and Other Nervous System,1999,Colorado,0.658,4.439,6.742
Brain and Other Nervous System,1999,Connecticut,0.602,4.322,7.178
Brain and Other Nervous System,1999,Delaware,0.629,4.591,7.3
Brain and Other Nervous System,1999,Florida,0.59,4.065,6.888
Brain and Other Nervous System,1999,Georgia,0.649,4.13,6.361
Brain and Other Nervous System,1999,Hawaii,0.56,2.438,4.354
Brain and Other Nervous System,1999,Idaho,0.805,6.615,8.218
Brain and Other Nervous System,1999,Illinois,0.672,4.406,6.553
Brain and Other Nervous System,1999,Indiana,0.674,4.852,7.197
Brain and Other Nervous System,1999,Iowa,0.778,5.22,6.71
Brain and Other Nervous System,1999,Kansas,0.885,5.205,5.88
Brain and Other Nervous System,1999,Kentucky,0.684,4.669,6.822
Brain and Other Nervous System,1999,Louisiana,0.718,4.362,6.076
Brain and Other Nervous System,1999,Maine,0.69,5.593,8.101
Brain and Other Nervous System,1999,Maryland,0.579,3.905,6.744
Brain and Other Nervous System,1999,Massachusetts,0.645,4.67,7.238
Brain and Other Nervous System,1999,Michigan,0.593,4.481,7.552
Brain and Other Nervous System,1999,Minnesota,0.702,5.149,7.335
Brain and Other Nervous System,1999,Missouri,0.699,5.025,7.184
Brain and Other Nervous System,1999,Montana,0.798,5.13,6.428
Brain and Other Nervous System,1999,Nebraska,0.738,5.482,7.428
Brain and Other Nervous System,1999,Nevada,0.656,4.462,6.798
Brain and Other Nervous System,1999,New Hampshire,0.726,5.12,7.057
Brain and Other Nervous System,1999,New Jersey,0.552,4.044,7.323
Brain and Other Nervous System,1999,New Mexico,0.563,4.003,7.107
Brain and Other Nervous System,1999,New York,0.579,4.001,6.906
Brain and Other Nervous System,1999,North Carolina,0.703,4.763,6.774
Brain and Other Nervous System,1999,North Dakota,0.977,5.821,5.959
